exercise_name,muscle_slug,role
Band Step-up,calves,secondary
Band Stiff Leg Deadlift,gluteus_maximus,primary
Band Stiff Leg Deadlift,hamstrings,secondary
Band Stiff Leg Deadlift,erector_spinae,secondary
Band Straight Back Stiff Leg Deadlift,gluteus_maximus,primary
Band Straight Back Stiff Leg Deadlift,hamstrings,secondary
Band Straight Back Stiff Leg Deadlift,erector_spinae,secondary
Band Straight Leg Deadlift,erector_spinae,primary
Band Straight Leg Deadlift,hamstrings,secondary
Band Straight Leg Deadlift,gluteus_maximus,secondary
Band Twisting Overhead Press,anterior_deltoid,primary
Band Twisting Overhead Press,triceps_brachii,secondary
Band Twisting Overhead Press,trapezius,secondary
Band Two Legs Calf Raise - (band Under Both Legs) V. 2,calves,primary
Band Underhand Pulldown,latissimus_dorsi,primary
Band Underhand Pulldown,biceps_brachii,secondary
Band Underhand Pulldown,forearms,secondary
Band V-up,rectus_abdominis,primary
Band V-up,hip_flexors,secondary
Band Vertical Pallof Press,rectus_abdominis,primary
Band Vertical Pallof Press,obliques,secondary
Band Vertical Pallof Press,gluteus_maximus,secondary
Band Wrist Curl,forearms,primary
Band Wrist Curl,biceps_brachii,secondary
Band Wrist Curl,triceps_brachii,secondary
Band Y-raise,lateral_deltoid,primary
Band Y-raise,trapezius,secondary
Band Y-raise,rhomboids,secondary
Barbell Alternate Biceps Curl,biceps_brachii,primary
Barbell Alternate Biceps Curl,forearms,secondary
Barbell Bench Front Squat,quadriceps,primary
Barbell Bench Front Squat,hamstrings,secondary
Barbell Bench Front Squat,gluteus_maximus,secondary
Barbell Bench Front Squat,calves,secondary
Barbell Bench Press,pectoralis_major,primary
Barbell Bench Press,triceps_brachii,secondary
Barbell Bench Press,anterior_deltoid,secondary
Barbell Bench Squat,quadriceps,primary
Barbell Bench Squat,gluteus_maximus,secondary
Barbell Bench Squat,hamstrings,secondary
Barbell Bench Squat,calves,secondary
Barbell Bent Arm Pullover,latissimus_dorsi,primary
Barbell Bent Arm Pullover,triceps_brachii,secondary
Barbell Bent Arm Pullover,pectoralis_major,secondary
Barbell Bent Over Row,trapezius,primary
Barbell Bent Over Row,biceps_brachii,secondary
Barbell Bent Over Row,forearms,secondary
Barbell Biceps Curl (with Arm Blaster),biceps_brachii,primary
Barbell Biceps Curl (with Arm Blaster),forearms,secondary
Barbell Clean And Press,quadriceps,primary
Barbell Clean And Press,hamstrings,secondary
Barbell Clean And Press,gluteus_maximus,secondary
Barbell Clean And Press,anterior_deltoid,secondary
Barbell Clean And Press,triceps_brachii,secondary
Barbell Clean-grip Front Squat,gluteus_maximus,primary
Barbell Clean-grip Front Squat,quadriceps,secondary
Barbell Clean-grip Front Squat,hamstrings,secondary
Barbell Clean-grip Front Squat,calves,secondary
Barbell Clean-grip Front Squat,rectus_abdominis,secondary
Barbell Close-grip Bench Press,triceps_brachii,primary
Barbell Close-grip Bench Press,pectoralis_major,secondary
Barbell Close-grip Bench Press,anterior_deltoid,secondary
Barbell Deadlift,gluteus_maximus,primary
Barbell Deadlift,hamstrings,secondary
Barbell Deadlift,erector_spinae,secondary
Barbell Decline Bench Press,pectoralis_major,primary
Barbell Decline Bench Press,triceps_brachii,secondary
Barbell Decline Bench Press,anterior_deltoid,secondary
Barbell Decline Bent Arm Pullover,latissimus_dorsi,primary
Barbell Decline Bent Arm Pullover,triceps_brachii,secondary
Barbell Decline Bent Arm Pullover,pectoralis_major,secondary
Barbell Decline Close Grip To Skull Press,triceps_brachii,primary
Barbell Decline Close Grip To Skull Press,pectoralis_major,secondary
Barbell Decline Close Grip To Skull Press,anterior_deltoid,secondary
Barbell Decline Pullover,pectoralis_major,primary
Barbell Decline Pullover,triceps_brachii,secondary
Barbell Decline Pullover,lateral_deltoid,secondary
Barbell Decline Wide-grip Press,pectoralis_major,primary
Barbell Decline Wide-grip Press,triceps_brachii,secondary
Barbell Decline Wide-grip Press,anterior_deltoid,secondary
Barbell Decline Wide-grip Pullover,latissimus_dorsi,primary
Barbell Decline Wide-grip Pullover,triceps_brachii,secondary
Barbell Decline Wide-grip Pullover,pectoralis_major,secondary
Barbell Drag Curl,biceps_brachii,primary
Barbell Drag Curl,forearms,secondary
Barbell Floor Calf Raise,calves,primary
Barbell Floor Calf Raise,hamstrings,secondary
Barbell Front Chest Squat,gluteus_maximus,primary
Barbell Front Chest Squat,quadriceps,secondary
Barbell Front Chest Squat,hamstrings,secondary
Barbell Front Chest Squat,calves,secondary
Barbell Front Chest Squat,rectus_abdominis,secondary
Barbell Front Raise,anterior_deltoid,primary
Barbell Front Raise,biceps_brachii,secondary
Barbell Front Raise,triceps_brachii,secondary
Barbell Front Raise And Pullover,pectoralis_major,primary
Barbell Front Raise And Pullover,anterior_deltoid,secondary
Barbell Front Raise And Pullover,triceps_brachii,secondary
Barbell Front Squat,gluteus_maximus,primary
Barbell Front Squat,quadriceps,secondary
Barbell Front Squat,hamstrings,secondary
Barbell Front Squat,calves,secondary
Barbell Front Squat,rectus_abdominis,secondary
Barbell Full Squat,gluteus_maximus,primary
Barbell Full Squat,quadriceps,secondary
Barbell Full Squat,hamstrings,secondary
Barbell Full Squat,calves,secondary
Barbell Full Squat,rectus_abdominis,secondary
Barbell Full Squat (back Pov),gluteus_maximus,primary
Barbell Full Squat (back Pov),quadriceps,secondary
Barbell Full Squat (back Pov),hamstrings,secondary
Barbell Full Squat (back Pov),calves,secondary
Barbell Full Squat (back Pov),rectus_abdominis,secondary
Barbell Full Squat (side Pov),gluteus_maximus,primary
Barbell Full Squat (side Pov),quadriceps,secondary
Barbell Full Squat (side Pov),hamstrings,secondary
Barbell Full Squat (side Pov),calves,secondary
Barbell Full Squat (side Pov),rectus_abdominis,secondary
Barbell Full Zercher Squat,gluteus_maximus,primary
Barbell Full Zercher Squat,quadriceps,secondary
Barbell Full Zercher Squat,hamstrings,secondary
Barbell Full Zercher Squat,calves,secondary
Barbell Full Zercher Squat,rectus_abdominis,secondary
Barbell Glute Bridge,gluteus_maximus,primary
Barbell Glute Bridge,hamstrings,secondary
Barbell Glute Bridge,erector_spinae,secondary
Barbell Glute Bridge Two Legs On Bench (male),gluteus_maximus,primary
Barbell Glute Bridge Two Legs On Bench (male),hamstrings,secondary
Barbell Glute Bridge Two Legs On Bench (male),rectus_abdominis,secondary
Barbell Good Morning,hamstrings,primary
Barbell Good Morning,erector_spinae,secondary
Barbell Guillotine Bench Press,pectoralis_major,primary
Barbell Guillotine Bench Press,anterior_deltoid,secondary
Barbell Guillotine Bench Press,triceps_brachii,secondary
Barbell Hack Squat,gluteus_maximus,primary
Barbell Hack Squat,quadriceps,secondary
Barbell Hack Squat,hamstrings,secondary
Barbell Hack Squat,calves,secondary
Barbell High Bar Squat,gluteus_maximus,primary
Barbell High Bar Squat,quadriceps,secondary
Barbell High Bar Squat,hamstrings,secondary
Barbell High Bar Squat,calves,secondary
Barbell High Bar Squat,rectus_abdominis,secondary
Barbell Incline Bench Press,pectoralis_major,primary
Barbell Incline Bench Press,anterior_deltoid,secondary
Barbell Incline Bench Press,triceps_brachii,secondary
Barbell Incline Close Grip Bench Press,triceps_brachii,primary
Barbell Incline Close Grip Bench Press,pectoralis_major,secondary
Barbell Incline Close Grip Bench Press,anterior_deltoid,secondary
Barbell Incline Reverse-grip Press,triceps_brachii,primary
Barbell Incline Reverse-grip Press,pectoralis_major,secondary
Barbell Incline Reverse-grip Press,posterior_deltoid,secondary
Barbell Incline Row,trapezius,primary
Barbell Incline Row,biceps_brachii,secondary
Barbell Incline Row,forearms,secondary
Barbell Incline Shoulder Raise,serratus_anterior,primary
Barbell Incline Shoulder Raise,lateral_deltoid,secondary
Barbell Incline Shoulder Raise,trapezius,secondary
Barbell Jefferson Squat,gluteus_maximus,primary
Barbell Jefferson Squat,quadriceps,secondary
Barbell Jefferson Squat,hamstrings,secondary
Barbell Jefferson Squat,calves,secondary
Barbell Jm Bench Press,triceps_brachii,primary
Barbell Jm Bench Press,pectoralis_major,secondary
Barbell Jm Bench Press,anterior_deltoid,secondary
Barbell Jump Squat,gluteus_maximus,primary
Barbell Jump Squat,quadriceps,secondary
Barbell Jump Squat,hamstrings,secondary
Barbell Jump Squat,calves,secondary
Barbell Lateral Lunge,gluteus_maximus,primary
Barbell Lateral Lunge,quadriceps,secondary
Barbell Lateral Lunge,hamstrings,secondary
Barbell Lateral Lunge,calves,secondary
Barbell Low Bar Squat,gluteus_maximus,primary
Barbell Low Bar Squat,quadriceps,secondary
Barbell Low Bar Squat,hamstrings,secondary
Barbell Low Bar Squat,calves,secondary
Barbell Lying Back Of The Head Tricep Extension,triceps_brachii,primary
Barbell Lying Back Of The Head Tricep Extension,lateral_deltoid,secondary
Barbell Lying Close-grip Press,triceps_brachii,primary
Barbell Lying Close-grip Press,pectoralis_major,secondary
Barbell Lying Close-grip Press,anterior_deltoid,secondary
Barbell Lying Close-grip Triceps Extension,triceps_brachii,primary
Barbell Lying Close-grip Triceps Extension,lateral_deltoid,secondary
Barbell Lying Extension,triceps_brachii,primary
Barbell Lying Extension,lateral_deltoid,secondary
Barbell Lying Lifting (on Hip),gluteus_maximus,primary
Barbell Lying Lifting (on Hip),hamstrings,secondary
Barbell Lying Lifting (on Hip),quadriceps,secondary
Barbell Lying Preacher Curl,biceps_brachii,primary
Barbell Lying Preacher Curl,forearms,secondary
Barbell Lying Triceps Extension,triceps_brachii,primary
Barbell Lying Triceps Extension,lateral_deltoid,secondary
Barbell Lying Triceps Extension Skull Crusher,triceps_brachii,primary
Barbell Lying Triceps Extension Skull Crusher,lateral_deltoid,secondary
Barbell Narrow Stance Squat,gluteus_maximus,primary
Barbell Narrow Stance Squat,quadriceps,secondary
Barbell Narrow Stance Squat,hamstrings,secondary
Barbell Narrow Stance Squat,calves,secondary
Barbell One Arm Bent Over Row,trapezius,primary
Barbell One Arm Bent Over Row,biceps_brachii,secondary
Barbell One Arm Bent Over Row,forearms,secondary
Barbell One Arm Floor Press,triceps_brachii,primary
Barbell One Arm Floor Press,pectoralis_major,secondary
Barbell One Arm Floor Press,anterior_deltoid,secondary
Barbell One Arm Side Deadlift,gluteus_maximus,primary
Barbell One Arm Side Deadlift,hamstrings,secondary
Barbell One Arm Side Deadlift,quadriceps,secondary
Barbell One Arm Side Deadlift,erector_spinae,secondary
Barbell One Arm Snatch,lateral_deltoid,primary
Barbell One Arm Snatch,trapezius,secondary
Barbell One Arm Snatch,forearms,secondary
Barbell One Arm Snatch,rectus_abdominis,secondary
Barbell One Leg Squat,quadriceps,primary
Barbell One Leg Squat,gluteus_maximus,secondary
Barbell One Leg Squat,hamstrings,secondary
Barbell One Leg Squat,calves,secondary
Barbell Overhead Squat,quadriceps,primary
Barbell Overhead Squat,gluteus_maximus,secondary
Barbell Overhead Squat,hamstrings,secondary
Barbell Overhead Squat,calves,secondary
Barbell Overhead Squat,rectus_abdominis,secondary
Barbell Palms Down Wrist Curl Over A Bench,forearms,primary
Barbell Palms Down Wrist Curl Over A Bench,biceps_brachii,secondary
Barbell Palms Down Wrist Curl Over A Bench,brachialis,secondary
Barbell Palms Up Wrist Curl Over A Bench,forearms,primary
Barbell Palms Up Wrist Curl Over A Bench,biceps_brachii,secondary
Barbell Palms Up Wrist Curl Over A Bench,anterior_deltoid,secondary
Barbell Pendlay Row,trapezius,primary
Barbell Pendlay Row,biceps_brachii,secondary
Barbell Pendlay Row,forearms,secondary
Barbell Pin Presses,triceps_brachii,primary
Barbell Pin Presses,anterior_deltoid,secondary
Barbell Preacher Curl,biceps_brachii,primary
Barbell Preacher Curl,forearms,secondary
Barbell Press Sit-up,rectus_abdominis,primary
Barbell Press Sit-up,anterior_deltoid,secondary
Barbell Press Sit-up,pectoralis_major,secondary
Barbell Prone Incline Curl,biceps_brachii,primary
Barbell Prone Incline Curl,forearms,secondary
Barbell Pullover,latissimus_dorsi,primary
Barbell Pullover,pectoralis_major,secondary
Barbell Pullover,triceps_brachii,secondary
Barbell Pullover To Press,latissimus_dorsi,primary
Barbell Pullover To Press,triceps_brachii,secondary
Barbell Pullover To Press,pectoralis_major,secondary
Barbell Pullover To Press,anterior_deltoid,secondary
Barbell Rack Pull,gluteus_maximus,primary
Barbell Rack Pull,hamstrings,secondary
Barbell Rack Pull,erector_spinae,secondary
Barbell Rear Delt Raise,posterior_deltoid,primary
Barbell Rear Delt Raise,trapezius,secondary
Barbell Rear Delt Raise,rhomboids,secondary
Barbell Rear Delt Row,posterior_deltoid,primary
Barbell Rear Delt Row,trapezius,secondary
Barbell Rear Delt Row,rhomboids,secondary
Barbell Rear Delt Row,biceps_brachii,secondary
Barbell Rear Lunge,gluteus_maximus,primary
Barbell Rear Lunge,quadriceps,secondary
Barbell Rear Lunge,hamstrings,secondary
Barbell Rear Lunge,calves,secondary
Barbell Rear Lunge V. 2,gluteus_maximus,primary
Barbell Rear Lunge V. 2,quadriceps,secondary
Barbell Rear Lunge V. 2,hamstrings,secondary
Barbell Rear Lunge V. 2,calves,secondary
Barbell Reverse Close-grip Bench Press,triceps_brachii,primary
Barbell Reverse Close-grip Bench Press,pectoralis_major,secondary
Barbell Reverse Close-grip Bench Press,posterior_deltoid,secondary
Barbell Reverse Curl,biceps_brachii,primary
Barbell Reverse Curl,forearms,secondary
Barbell Reverse Grip Bent Over Row,trapezius,primary
Barbell Reverse Grip Bent Over Row,biceps_brachii,secondary
Barbell Reverse Grip Bent Over Row,forearms,secondary
Barbell Reverse Grip Decline Bench Press,pectoralis_major,primary
Barbell Reverse Grip Decline Bench Press,triceps_brachii,secondary
Barbell Reverse Grip Decline Bench Press,posterior_deltoid,secondary
Barbell Reverse Grip Incline Bench Press,pectoralis_major,primary
Barbell Reverse Grip Incline Bench Press,triceps_brachii,secondary
Barbell Reverse Grip Incline Bench Press,posterior_deltoid,secondary
Barbell Reverse Grip Incline Bench Row,trapezius,primary
Barbell Reverse Grip Incline Bench Row,biceps_brachii,secondary
Barbell Reverse Grip Incline Bench Row,forearms,secondary
Barbell Reverse Grip Skullcrusher,triceps_brachii,primary
Barbell Reverse Grip Skullcrusher,forearms,secondary
Barbell Reverse Preacher Curl,biceps_brachii,primary
Barbell Reverse Preacher Curl,forearms,secondary
Barbell Reverse Wrist Curl,forearms,primary
Barbell Reverse Wrist Curl,biceps_brachii,secondary
Barbell Reverse Wrist Curl,brachialis,secondary
Barbell Reverse Wrist Curl V. 2,forearms,primary
Barbell Reverse Wrist Curl V. 2,biceps_brachii,secondary
Barbell Reverse Wrist Curl V. 2,brachialis,secondary
Barbell Rollerout,rectus_abdominis,primary
Barbell Rollerout,erector_spinae,secondary
Barbell Rollerout From Bench,rectus_abdominis,primary
Barbell Rollerout From Bench,anterior_deltoid,secondary
Barbell Rollerout From Bench,triceps_brachii,secondary
Barbell Romanian Deadlift,gluteus_maximus,primary
Barbell Romanian Deadlift,hamstrings,secondary
Barbell Romanian Deadlift,erector_spinae,secondary
Barbell Seated Behind Head Military Press,anterior_deltoid,primary
Barbell Seated Behind Head Military Press,triceps_brachii,secondary
Barbell Seated Behind Head Military Press,trapezius,secondary
Barbell Seated Bradford Rocky Press,anterior_deltoid,primary
Barbell Seated Bradford Rocky Press,triceps_brachii,secondary
Barbell Seated Bradford Rocky Press,trapezius,secondary
Barbell Seated Calf Raise,calves,primary
Barbell Seated Calf Raise,hamstrings,secondary
Barbell Seated Close Grip Behind Neck Triceps Extension,triceps_brachii,primary
Barbell Seated Close Grip Behind Neck Triceps Extension,lateral_deltoid,secondary
Barbell Seated Close-grip Concentration Curl,biceps_brachii,primary
Barbell Seated Close-grip Concentration Curl,forearms,secondary
Barbell Seated Good Morning,gluteus_maximus,primary
Barbell Seated Good Morning,hamstrings,secondary
Barbell Seated Good Morning,erector_spinae,secondary
Barbell Seated Overhead Press,anterior_deltoid,primary
Barbell Seated Overhead Press,triceps_brachii,secondary
Barbell Seated Overhead Press,trapezius,secondary
Barbell Seated Overhead Triceps Extension,triceps_brachii,primary
Barbell Seated Overhead Triceps Extension,anterior_deltoid,secondary
Barbell Seated Twist,rectus_abdominis,primary
Barbell Seated Twist,obliques,secondary
Barbell Seated Twist,erector_spinae,secondary
Barbell Side Bent V. 2,rectus_abdominis,primary
Barbell Side Bent V. 2,obliques,secondary
Barbell Side Bent V. 2,erector_spinae,secondary
Barbell Side Split Squat,quadriceps,primary
Barbell Side Split Squat,gluteus_maximus,secondary
Barbell Side Split Squat,hamstrings,secondary
Barbell Side Split Squat,calves,secondary
