exercise_name,equipment_id,source,confidence
Cable Russian Twists (on Stability Ball),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Russian Twists (on Stability Ball),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Seated Crunch,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Seated Crunch,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Seated High Row (v-bar),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Seated High Row (v-bar),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Seated One Arm Alternate Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Seated One Arm Alternate Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Seated Rear Lateral Raise,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Seated Rear Lateral Raise,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Seated Shoulder Internal Rotation,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Seated Shoulder Internal Rotation,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Seated Wide-grip Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Seated Wide-grip Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Shoulder Press,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Shoulder Press,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Shrug,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Shrug,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Side Bend Crunch (bosu Ball),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Side Bend Crunch (bosu Ball),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Side Bend,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Side Bend,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Side Crunch,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Side Crunch,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Back Wrist Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Back Wrist Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Cross-over High Reverse Fly,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Cross-over High Reverse Fly,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Crunch,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Crunch,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Fly,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Fly,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Hip Extension,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Hip Extension,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Inner Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Inner Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Lift,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Lift,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing One Arm Triceps Extension,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing One Arm Triceps Extension,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Pulldown (with Rope),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Pulldown (with Rope),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Rear Delt Row (with Rope),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Rear Delt Row (with Rope),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Row (v-bar),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Row (v-bar),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Shoulder External Rotation,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Shoulder External Rotation,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Standing Twist Row (v-bar),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Standing Twist Row (v-bar),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Straight Arm Pulldown (with Rope),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Straight Arm Pulldown (with Rope),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Straight Arm Pulldown,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Straight Arm Pulldown,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Straight Back Seated Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Straight Back Seated Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Supine Reverse Fly,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Supine Reverse Fly,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Triceps Pushdown (v-bar),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Triceps Pushdown (v-bar),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Tuck Reverse Crunch,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Tuck Reverse Crunch,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Twist,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Twist,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Twisting Pull,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Twisting Pull,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Underhand Pulldown,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Underhand Pulldown,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Upright Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Upright Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Wrist Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Wrist Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Lever Alternating Narrow Grip Seated Row,dc823fdb-8cc0-59db-8d4a-7fd03575723d,seed,0.9
Lever Alternating Narrow Grip Seated Row,be8c8a43-281e-5331-8539-e5ecf1b2cba1,seed,0.9
Lever Alternating Narrow Grip Seated Row,e4b68832-bd2d-4996-a062-f08c96736e23,seed,0.9
Lever Alternating Narrow Grip Seated Row,d5123039-4a87-4e5c-97fd-bfcff2e65ed8,seed,0.9
Lever Alternating Narrow Grip Seated Row,98aeba22-b028-49c2-adfb-b74ac5384589,seed,0.9
Lever Alternating Narrow Grip Seated Row,22cbf7fd-44b5-429f-99dd-c90cf252935a,seed,0.9
Lever Alternating Narrow Grip Seated Row,462123c8-665c-4973-b92f-af706f03ca79,seed,0.9
Lever Alternating Narrow Grip Seated Row,b4b7db6f-fbd9-4a84-b21f-58328c0b0d00,seed,0.9
Lever Alternating Narrow Grip Seated Row,b6bc5c86-ff02-48a0-a35c-9ee42172700f,seed,0.9
Lever Alternating Narrow Grip Seated Row,4cfb1e70-3807-469a-8b56-072766c52ab4,seed,0.9
Lever Alternating Narrow Grip Seated Row,fde366f4-3d4a-434d-b9ea-953ac2450e3d,seed,0.9
Lever Alternating Narrow Grip Seated Row,ae593cd8-56a9-4175-ac62-599358819a80,seed,0.9
Lever Alternating Narrow Grip Seated Row,1a4c5c46-b772-42eb-8d8f-d3193c870411,seed,0.9
Lever Alternating Narrow Grip Seated Row,6d072212-c936-5af1-8dc5-6f05a5deb1b2,seed,0.9
Lever Alternating Narrow Grip Seated Row,06d73bb4-7fce-51b6-ad03-e877eb6aaaf4,seed,0.9
Lever Alternating Narrow Grip Seated Row,c92e39a8-4faf-59d4-9bcb-fad9de96c2df,seed,0.9
Lever Alternating Narrow Grip Seated Row,14eea95a-3c5f-5e5d-a31e-37ac32953b2a,seed,0.9
Lever Back Extension,656293a3-578d-43e8-b80f-c224c0d93c0e,seed,0.9
Lever Bicep Curl,c7ed172e-530b-4053-8970-76a1af1db288,seed,0.9
Lever Bicep Curl,f9173625-8b40-46a9-b67b-4b2aba396968,seed,0.9
Lever Bicep Curl,92127a9c-730e-4013-92ce-85873a4b4028,seed,0.9
Lever Chest Press,13052afb-36e6-4fef-8e5d-e6048c40e9a6,seed,0.9
Lever Chest Press,e4913cd6-efd3-43d5-981a-45b5bc239977,seed,0.9
Lever Chest Press,4989dc12-d0be-580d-a9b6-219ebd81add2,seed,0.9
Lever Chest Press,59c360a7-6bab-5bdd-af4f-f642a0b29089,seed,0.9
Lever Chest Press,209b9675-eca3-4bb8-8246-42ffd3c88bfe,seed,0.9
